id,x,y,radius,brightness
256,61,1605,5,108.27075798814361
257,471,1606,7,108.3551724137931
258,2476,1598,6,108.34368422995975
259,1864,1587,3,108.31447329595751
260,2867,1569,9,108.50049333089713
261,831,1556,6,108.5046582720722
262,1152,1516,4,108.43237548588658
263,820,1523,12,108.5303918764302
264,1453,1504,4,108.49516365064068
265,1503,1499,5,108.42309061143142
266,1397,1489,5,108.3686433159445
267,945,1476,5,108.35130927105449
268,2874,1471,3,108.32705291809538
269,2798,1463,0,108.32612230470131
270,1624,1458,3,108.29436067657757
271,2869,1456,8,108.24933370739234
272,2338,1463,17,108.54791447122412
273,1992,1450,6,108.49139857771758
274,2050,1402,2,108.4818400297871
275,1689,1397,4,108.41207082995405
276,1419,1394,15,108.60832975809379
277,1188,1369,2,108.60137230322623
278,2701,1372,7,108.60243574171946
279,1410,1351,3,108.57172373081464
280,512,1336,1,108.56641636882317
281,2362,1331,5,108.46801622081234
282,814,1326,2,108.45287829753849
283,1031,1326,4,108.4366187989556
284,879,1323,3,108.41171867357919
285,326,1318,4,108.35002278794192
286,2556,1310,3,108.32806452662048
287,1673,1313,7,108.43190056965302
288,709,1299,3,108.42690379951496
289,1587,1280,3,108.43648639917296
290,2268,1280,4,108.39509079766474
291,366,1274,2,108.37890121227754
292,1569,1252,4,108.3081281184613
293,845,1244,3,108.29761368752814
294,123,1242,5,108.2554290296712
295,463,1236,4,108.2178452472457
296,2180,1211,2,108.20891891026668
297,325,1197,1,108.20446834389604
298,570,1182,0,108.20362961303331
299,989,1184,3,108.19583013558454
300,706,1182,6,108.22886729329298
301,399,1174,4,108.23735445695743
302,185,1165,3,108.20395385055463
303,1772,1163,6,108.12990879148721
304,140,1151,1,108.12491688040278
305,1387,1143,5,108.0302886741204
306,1856,1131,2,108.01992107340173
307,723,1131,4,107.99221409658303
308,2145,1135,10,108.02337629911676
309,434,1122,7,107.93115874495184
310,1103,1103,5,107.85820086145456
311,2835,1101,7,107.88476249228871
312,1140,1100,6,107.86644330372238
313,334,1089,4,107.83061199435271
314,410,1087,5,107.76199369316964
315,767,1082,3,107.75357885721277
316,2405,1075,2,107.74211894205779
317,1908,1070,5,107.75855548099798
318,208,1063,3,107.73152521712632
319,2827,1047,5,107.65071741245136
320,75,1039,5,107.6223428450132
321,1286,1027,3,107.58725686238866
322,649,1026,4,107.57023143246104
323,2064,1000,4,107.52480062832286
324,1399,991,5,107.5354828989001
325,1499,989,17,107.80898316024174
326,2957,960,2,107.80283879292648
327,855,957,2,107.79329854596622
328,955,946,3,107.7609033127325
329,813,945,9,107.75021806128976
330,2226,917,7,107.735460151116
331,157,910,3,107.71896332292029
332,1401,907,2,107.71036576550527
333,2507,886,4,107.65767742680603
334,2512,879,5,107.64109581148816
335,463,879,9,107.62378814310635
336,505,863,5,107.5511013467245
337,776,854,2,107.54045805881178
338,1024,865,17,107.94638785384572
339,1300,845,3,107.9201467033425
340,1394,807,5,107.86197050343758
341,757,809,7,107.87957262361613
342,2122,800,5,107.82764035039392
343,1260,775,2,107.81566845656064
344,821,759,3,107.80026964560862
345,1321,755,3,107.81607236136695
346,749,734,4,107.80978529460216
347,1801,689,2,107.80271716755867
348,542,682,3,107.78899736726635
349,1971,657,9,107.68545905166545
350,1569,635,4,107.6304194092368
351,237,627,2,107.62165909894233
352,1715,613,12,107.8029554003224
353,628,600,2,107.79703488840545
354,1065,599,5,107.74784263279199
355,2935,587,2,107.74273314222948
356,2721,572,9,107.81593932943055
357,3020,563,8,107.90284108979115
358,386,554,7,108.00451413637444
359,2825,539,0,108.00382767541312
360,2912,536,5,107.97610831599188
361,428,539,9,108.0882614611681
362,2840,534,7,108.03930665971589
363,2767,524,7,108.07597237368229
364,2462,524,7,108.06429920078628
365,2789,522,7,108.06686076471195
366,620,517,4,108.01847610715113
367,1210,520,17,108.17506664654695
368,425,507,6,108.18721003134796
369,161,503,6,108.13401520456136
370,2928,485,4,108.15613057921422
371,1401,468,1,108.15251485939763
372,2598,462,3,108.13618327468743
373,1725,458,3,108.12586034912718
374,2814,437,6,108.13406112451197
375,1112,423,3,108.10414492321455
376,249,421,4,108.07135588592986
377,2839,421,5,108.0325968493015
378,1159,421,5,107.9751316342422
379,342,419,3,107.95504174694926
380,1734,428,25,106.47619159814339
381,2699,405,3,106.44909587492937
382,1650,403,2,106.4401082735083
383,678,389,2,106.43234975763565
384,2655,391,5,106.38688085676037
385,2755,390,5,106.33016877637131
386,1107,386,4,106.31620969819008
387,2819,386,8,106.3203281592318
388,2921,380,4,106.2816435804912
389,1795,376,4,106.27202120732954
390,2774,366,4,106.2891320000929
391,1716,389,28,106.04101726345534
392,2272,354,5,106.00687542695961
393,2803,343,3,105.99213794926004
394,2869,340,3,105.9795981248762
395,1699,350,25,104.75676706869874
396,892,329,4,104.71712615931902
397,563,323,2,104.71201761256589
398,1240,318,5,104.74974640743872
399,2798,314,2,104.74185029472038
400,1854,298,5,104.7137554308854
401,1074,295,6,104.73648662865318
402,1530,292,5,104.67419341287179
403,2166,268,1,104.67164429882595
404,610,278,13,104.84516638278426
405,2215,264,1,104.84206700313622
406,768,264,2,104.83612956810632
407,2652,257,2,104.82778734976024
408,414,248,5,104.78606954863845
409,2353,237,1,104.78377090283678
410,2276,227,3,104.77425033134526
411,323,225,5,104.73962662035602
412,299,222,5,104.7377915376677
413,1363,214,2,104.73385882013082
414,2941,208,3,104.71760290357172
415,1382,205,1,104.71511639895252
416,503,210,9,104.69581538461539
417,2389,186,5,104.62650775122361
418,2705,180,4,104.59961129296235
419,1309,175,2,104.59403186550222
420,2885,174,7,104.59685575629052
421,1089,174,7,104.66857758533065
422,57,159,4,104.64309504467913
423,338,161,8,104.68996905152012
424,1839,151,3,104.69067642421057
425,2775,148,4,104.67763304049278
426,2424,125,2,104.66895493458246
427,1207,101,5,104.62954302646698
428,2270,79,4,104.63123766563292
429,709,71,1,104.62859674204135
430,806,67,12,104.78895896535207
431,1791,49,7,104.79318647642927
432,2344,36,3,104.77677896662821
433,563,38,6,104.7816053179879
434,1187,33,2,104.77233772417077
